"nome","uf","%homem_ver","%branco_ver","%homem_pop","%branco_pop"
"Novais","SP",100,100,53.99,51.07
"Boa Vista","PB",100,100,49.54,51.1
"Iretama","PR",77.8,100,51.15,51.14
"Mateus Leme","MG",100,88.9,49.59,40.12
"Luiziana","PR",88.9,100,51.07,51.25
"Santa Cruz de Goiás","GO",100,100,52.36,51.37
"Aparecida do Rio Doce","GO",77.8,88.9,51.13,40.42
"Janiópolis","PR",100,100,50.11,51.56
"Barra de Guabiraba","PE",88.9,88.9,50.99,40.52
"Dom Macedo Costa","BA",66.7,66.7,48.97,18.33
"Nova Independência","SP",66.7,100,49.71,51.63
"São João do Paraíso","MG",63.6,81.8,50.02,33.46
"Curuá","PA",88.9,66.7,52.68,18.5
"Piquet Carneiro","CE",81.8,90.9,50.37,42.83
"Luís Gomes","RN",66.7,88.9,49.15,40.85
"Vila Flor","RN",77.8,77.8,50.84,29.87
"Abre Campo","MG",100,88.9,50.1,41
"Jaguaruana","CE",92.3,92.3,49.87,44.42
"Balbinos","SP",77.8,100,81.09,52.19
"Ivaté","PR",88.9,100,50.68,52.32
"Cerro Negro","SC",88.9,100,52.3,52.39
"Queluz","SP",77.8,100,50.91,52.44
"Nova Brasilândia d'Oeste","RO",100,88.9,52.05,41.39
"Alagoinha do Piauí","PI",88.9,100,50.17,52.66
"Lagoa Grande","MG",88.9,88.9,52.71,41.56
"Capinzal do Norte","MA",66.7,66.7,49.96,19.37
"Santa Fé de Minas","MG",88.9,66.7,52.62,19.43
"Lavínia","SP",100,100,70.43,52.79
"Santa Cruz","RN",88.9,88.9,48.81,41.75
"Rio Bananal","ES",100,100,51.79,52.99
"Barra do Chapéu","SP",100,88.9,52.82,41.91
"Magé","RJ",100,82.4,48.64,35.52
"Chã Grande","PE",81.8,90.9,49.57,44.07
"Mata Grande","AL",54.5,72.7,49.93,25.98
"Junqueiro","AL",81.8,81.8,49.27,35.09
"Araporã","MG",100,88.9,50.63,42.2
"Simplício Mendes","PI",77.8,66.7,50.43,20
"Iguatu","PR",88.9,100,50.85,53.4
"Ibiá","MG",90.9,100,51.07,53.42
"Canaã","MG",100,88.9,51.3,42.52
"Nova Iguaçu","RJ",94.1,82.4,47.94,36.23
"Pedro Avelino","RN",77.8,77.8,51.47,31.66
"Jucás","CE",72.7,81.8,49.42,35.73
"Porciúncula","RJ",88.9,88.9,49.97,42.85
"Morada Nova","CE",80,86.7,50.18,40.65
"São Paulo do Potengi","RN",81.8,81.8,49.38,35.76
"Piedade de Ponte Nova","MG",88.9,77.8,49.04,31.78
"Eldorado","MS",100,88.9,49.45,42.89
"Pocinhos","PB",81.8,90.9,49.85,44.94
"Americano do Brasil","GO",100,88.9,51.89,43.03
"Tenente Ananias","RN",77.8,88.9,50.38,43.11
"Cristianópolis","GO",55.6,100,51.26,54.26
"Astolfo Dutra","MG",88.9,100,50.22,54.27
"Itapura","SP",77.8,88.9,51.8,43.19
"Ipanema","MG",100,90.9,48.46,45.2
"Nova Santa Bárbara","PR",77.8,100,48.52,54.32
"Quixelô","CE",100,81.8,50.33,36.25
"Maetinga","BA",100,77.8,50.88,32.3
"Primeira Cruz","MA",88.9,66.7,53.1,21.25
"Ariranha do Ivaí","PR",100,100,50.1,54.59
"Mauriti","CE",84.6,76.9,49.93,31.51
"Lupionópolis","PR",100,100,49.24,54.64
"São João do Caiuá","PR",77.8,88.9,49.48,43.55
"Capoeiras","PE",81.8,90.9,49.87,45.57
"Carmo da Mata","MG",77.8,100,49.89,54.67
"Miranda","MS",100,72.7,51.65,27.39
"São Domingos","PB",66.7,77.8,49.46,32.5
"Dom Silvério","MG",88.9,88.9,47.98,43.61
"Miradouro","MG",88.9,100,51.06,54.72
"Pires Ferreira","CE",88.9,77.8,50.3,32.58
"Guatapará","SP",100,100,51.38,54.79
"Maribondo","AL",100,77.8,48,32.59
"Conceição do Lago-Açu","MA",88.9,66.7,51.82,21.52
"Rio Grande da Serra","SP",100,92.3,49.58,47.12
"Eldorado dos Carajás","PA",100,66.7,52.9,21.53
"Passo de Camaragibe","AL",77.8,66.7,50.88,21.55
"Aratuípe","BA",100,55.6,50.89,10.52
"Lima Duarte","MG",100,100,50.41,54.95
"Pedrinhas","SE",100,66.7,49.32,21.75
"Divisa Nova","MG",100,100,51.74,55.06
"Paulicéia","SP",88.9,100,51.9,55.07
"Santo Inácio","PR",77.8,100,50.54,55.15
"Várzea Grande","PI",77.8,66.7,47.23,21.93
"Brasnorte","MT",100,88.9,53.95,44.14
"Mãe d'Água","PB",88.9,77.8,48.87,33.04
"Florestal","MG",88.9,88.9,49.17,44.15
"Senador Cortes","MG",77.8,88.9,49.55,44.22
"Miraselva","PR",100,100,49.57,55.37
"São Gonçalo do Pará","MG",100,100,50.27,55.37
"Maxaranguape","RN",66.7,66.7,51.24,22.09
"Duas Barras","RJ",100,100,50.42,55.43
"Onça de Pitangui","MG",88.9,88.9,51,44.35
"Barra de Santa Rosa","PB",90.9,81.8,50.05,37.27
"Ibititá","BA",81.8,72.7,50.77,28.18
"Lajinha","MG",90.9,90.9,50.12,46.42
