"nome","uf","%homem_ver","%branco_ver","%homem_pop","%branco_pop"
"Boa Nova","BA",100,54.5,50.77,29.5
"Nova Esperança","PR",77.8,88.9,48.92,63.93
"Buri","SP",100,100,51.18,75.03
"Ipanguaçu","RN",90.9,54.5,50.53,29.54
"Cachoeira Dourada","MG",66.7,66.7,50.06,41.76
"Fazenda Rio Grande","PR",92.3,92.3,49.68,67.37
"Irati","SC",77.8,100,51.15,75.1
"São Joaquim do Monte","PE",100,72.7,49.76,47.83
"Joselândia","MA",81.8,45.5,50.64,20.64
"Capinópolis","MG",81.8,72.7,51.17,47.84
"Jeriquara","SP",77.8,77.8,51.33,52.94
"Água Limpa","GO",100,77.8,52.06,52.96
"Capitão Gervásio Oliveira","PI",100,55.6,51.55,30.79
"Diogo de Vasconcelos","MG",88.9,55.6,50.16,30.8
"Uchoa","SP",88.9,100,49.7,75.2
"Jequitaí","MG",88.9,44.4,50.36,19.6
"Barbosa","SP",88.9,77.8,50.4,53
"Rio dos Índios","RS",88.9,100,51.44,75.22
"Bossoroca","RS",88.9,100,50.97,75.23
"Tremembé","SP",88.9,100,52.86,75.23
"Guamiranga","PR",100,88.9,50.73,64.16
"Maracás","BA",72.7,54.5,49.58,29.76
"Resende","RJ",94.1,76.5,48.65,51.77
"Guaranésia","MG",100,90.9,50.75,66.21
"Monsenhor Paulo","MG",66.7,88.9,51.22,64.23
"Francinópolis","PI",55.6,33.3,48.86,8.63
"Piquete","SP",88.9,88.9,48.32,64.24
"Sinop","MT",86.7,73.3,50.9,48.65
"Cariré","CE",81.8,54.5,49.83,29.85
"Retirolândia","BA",77.8,55.6,49.98,31.02
"Santa Bárbara","MG",100,54.5,49.04,29.92
"Tupi Paulista","SP",88.9,100,53.12,75.42
"Muniz Freire","ES",100,77.8,50.57,53.23
"Lago da Pedra","MA",100,46.2,49.83,21.64
"Pardinho","SP",100,100,50.95,75.44
"Matões","MA",92.3,38.5,50.24,13.95
"Novo Progresso","PA",100,66.7,53.47,42.17
"Magda","SP",88.9,100,51.59,75.47
"Nova União","MG",77.8,55.6,50.33,31.07
"Raul Soares","MG",90.9,63.6,49.24,39.08
"Pereira Barreto","SP",100,72.7,49.15,48.19
"Piracaia","SP",81.8,100,49.82,75.49
"Acreúna","GO",81.8,63.6,51.18,39.1
"Urupema","SC",55.6,100,51.33,75.5
"Santa Cecília","PB",88.9,66.7,51.2,42.22
"São Miguel do Tocantins","TO",55.6,44.4,50.47,19.92
"Irineópolis","SC",66.7,100,51.17,75.57
"Teodoro Sampaio","SP",100,72.7,49.87,48.27
"Umbuzeiro","PB",77.8,66.7,48.49,42.3
"Espírito Santo do Turvo","SP",55.6,88.9,50.54,64.54
"Santa Rita do Passa Quatro","SP",77.8,100,48.39,75.66
"Lagoa Dourada","MG",77.8,88.9,51.79,64.56
"Agudos do Sul","PR",100,100,52.07,75.68
"Wenceslau Braz","PR",88.9,100,49.28,75.68
"Alto Paraíso","PR",88.9,66.7,50.5,42.39
"Itabirito","MG",92.3,69.2,49.15,44.91
"Camapuã","MS",88.9,66.7,51.87,42.41
"Sapé","PB",80,60,49.17,35.71
"Itaúna","MG",82.4,82.4,49.26,58.12
"Paranhos","MS",100,55.6,50.7,31.34
"Ibiaí","MG",100,44.4,51.46,20.14
"Santo Amaro do Maranhão","MA",66.7,44.4,52.92,20.15
"Floresta","PR",66.7,88.9,49.79,64.71
"Rifaina","SP",88.9,88.9,50.17,64.73
"Parnaíba","PI",88.2,58.8,47.85,34.63
"Cambé","PR",80,90,48.9,65.85
"Santo Antônio do Leste","MT",100,55.6,53.94,31.46
"São Roque de Minas","MG",88.9,100,52.09,75.86
"Figueirópolis d'Oeste","MT",88.9,66.7,51,42.6
"Natal","RN",72.4,69,47.02,44.96
"Cornélio Procópio","PR",100,92.3,48.37,68.26
"Bom Jesus","PI",100,45.5,49.95,21.47
"Lagoa do Ouro","PE",88.9,66.7,49.21,42.71
"Madre de Deus de Minas","MG",100,88.9,50.22,64.93
"Belo Horizonte","MG",90.2,70.7,46.88,46.74
"Goioerê","PR",100,77.8,48.27,53.87
"Conceição de Macabu","RJ",90.9,63.6,49.73,39.68
"Ourilândia do Norte","PA",92.3,46.2,52.16,22.3
"Santos Dumont","MG",84.6,76.9,48.6,53.01
"Marmelópolis","MG",88.9,100,50.24,76.11
"Pedras Altas","RS",88.9,88.9,52.49,65.01
"Cedro do Abaeté","MG",77.8,66.7,51.9,42.81
"José Raydan","MG",88.9,44.4,50.73,20.52
"Touros","RN",69.2,53.8,51.68,29.92
"Jambeiro","SP",77.8,100,51.77,76.13
"Caxias","MA",84.2,42.1,48.4,18.26
"Mirassol","SP",100,100,49.08,76.18
"Jandaíra","BA",100,33.3,51.39,9.5
"Dores do Turvo","MG",100,77.8,51.48,54.01
"Aguaí","SP",100,92.3,50.44,68.51
"Matos Costa","SC",88.9,88.9,51.95,65.13
"Córrego do Ouro","GO",88.9,66.7,50.84,42.93
"Bocaina do Sul","SC",88.9,100,51.67,76.23
"Lagoinha","SP",100,100,51.21,76.24
"Bom Jesus do Tocantins","PA",100,44.4,52.63,20.64
"Belo Vale","MG",88.9,77.8,50.11,54.05
"Alta Floresta","MT",84.6,69.2,50.83,45.45
"Aldeias Altas","MA",63.6,36.4,51.75,12.65
"Cruzília","MG",100,88.9,49.65,65.16
"Areias","SP",100,77.8,49.54,54.06
"Rinópolis","SP",88.9,88.9,50.84,65.18
"Dois Vizinhos","PR",90.9,100,49.71,76.29
"Salto do Lontra","PR",88.9,100,50.7,76.29
"Apucarana","PR",90.9,90.9,48.53,67.2
"Terra Roxa","PR",77.8,88.9,49.5,65.22
"Lucianópolis","SP",100,88.9,49.71,65.23
"Farias Brito","CE",81.8,54.5,49.08,30.83
"Itajubá","MG",88.2,100,49.07,76.34
"São João do Piauí","PI",81.8,45.5,49.03,21.85
"Itatiaia","RJ",90.9,72.7,49.38,49.1
"Camocim","CE",86.7,46.7,49.49,23.11
"Rio Verde de Mato Grosso","MS",81.8,63.6,50.22,40.03
"Guarujá","SP",94.1,70.6,48.74,47.03
"Mostardas","RS",100,100,51.03,76.44
"Francisco Beltrão","PR",69.2,100,49.35,76.45
"Santa Maria da Vitória","BA",100,53.8,50.45,30.26
"Codajás","AM",81.8,36.4,52.17,12.87
"Rio Claro","RJ",100,81.8,50.32,58.27
"Anápolis","GO",82.6,69.6,48.79,46.08
"Guidoval","MG",77.8,77.8,50.49,54.29
"Presidente Dutra","MA",84.6,53.8,49.11,30.31
"Bom Jesus do Tocantins","TO",77.8,44.4,52.79,20.91
"Charrua","RS",77.8,77.8,49.78,54.31
"Volta Redonda","RJ",95.2,76.2,47.68,52.73
"Martins","RN",88.9,66.7,49.2,43.23
"Ponto dos Volantes","MG",88.9,44.4,51.1,20.93
"Cesário Lange","SP",100,100,51.89,76.55
"Edéia","GO",77.8,66.7,51.3,43.25
"Jales","SP",100,100,48.89,76.56
"Antônio Olinto","PR",88.9,100,52.47,76.56
"Bauru","SP",82.4,94.1,48.45,70.66
"Três Barras do Paraná","PR",66.7,100,50.69,76.56
"Cristina","MG",100,100,51.17,76.57
"Congonhinhas","PR",100,88.9,51.18,65.48
"Minduri","MG",88.9,66.7,49.19,43.28
"Santa Fé","PR",55.6,88.9,49.06,65.48
"Santo Antônio do Grama","MG",100,55.6,49.77,32.19
"Pirpirituba","PB",77.8,55.6,49.53,32.19
"Boqueirão do Leão","RS",100,100,51.31,76.59
"São Francisco de Paula","RS",100,100,50.65,76.6
"São Simão","GO",72.7,63.6,51.88,40.2
"Periquito","MG",77.8,44.4,49.06,21.01
"Tibagi","PR",77.8,88.9,50.68,65.52
"Tacuru","MS",77.8,55.6,51.63,32.22
"São Manoel do Paraná","PR",100,88.9,50.24,65.54
"Monte Belo","MG",77.8,100,52.14,76.64
"Orindiúva","SP",66.7,77.8,51.08,54.45
"Pirajuí","SP",72.7,90.9,55.36,67.57
"Iturama","MG",92.3,76.9,50.2,53.58
"Piancó","PB",81.8,72.7,47.77,49.38
"Laranjeiras do Sul","PR",84.6,92.3,48.71,68.98
"Conquista","MG",100,88.9,50.81,65.63
"Ribeirãozinho","MT",66.7,66.7,51.21,43.43
"Alto Longá","PI",77.8,44.4,50.99,21.13
"São Roque do Canaã","ES",88.9,88.9,50.46,65.64
"Vargem","SP",66.7,100,51.35,76.74
"Barueri","SP",100,76.2,48.62,52.95
"Santa Isabel","SP",93.3,93.3,50.04,70.05
"Barretos","SP",94.1,88.2,48.32,64.96
"Pentecoste","CE",84.6,53.8,50.56,30.56
"Juatuba","MG",100,55.6,50.52,32.37
"Nova Cantu","PR",100,88.9,50.6,65.67
"Lavras do Sul","RS",66.7,100,49.16,76.77
"Messias Targino","RN",88.9,55.6,50.6,32.4
"Altinópolis","SP",90.9,90.9,50.03,67.72
"Salinas","MG",84.6,53.8,49.2,30.62
"Potirendaba","SP",100,100,50.83,76.85
"Leandro Ferreira","MG",88.9,77.8,51.17,54.66
"Jesuânia","MG",77.8,100,51.78,76.87
"Cajazeiras","PB",93.3,66.7,47.8,43.58
"Tigrinhos","SC",100,100,51.34,76.89
"Tabapuã","SP",88.9,100,50.56,76.89
"Carauari","AM",63.6,45.5,51.44,22.39
"Ubajara","CE",84.6,53.8,49.58,30.7
"Japorã","MS",77.8,44.4,50.55,21.3
"Cruz do Espírito Santo","PB",72.7,54.5,49.78,31.41
"Itabirinha","MG",88.9,55.6,49.78,32.52
"Sidrolândia","MS",93.3,66.7,51.07,43.63
"Lindóia","SP",100,100,49.55,76.94
"Jaguaraçu","MG",77.8,55.6,50.43,32.54
"Borborema","PB",88.9,55.6,50.05,32.56
"Guarulhos","SP",88.2,76.5,48.7,53.48
"Serrinha","RN",77.8,55.6,52.45,32.61
"Fátima do Sul","MS",100,72.7,49.19,49.75
"Trairi","CE",93.3,46.7,51.41,23.75
"Zacarias","SP",88.9,88.9,50.24,65.95
"Santa Rita d'Oeste","SP",88.9,100,49.71,77.07
"Paulínia","SP",93.3,86.7,49.51,63.8
"Catingueira","PB",100,55.6,50.15,32.71
"José Bonifácio","SP",100,100,49.91,77.12
"Juarez Távora","PB",88.9,55.6,48.81,32.74
"Juara","MT",77.8,66.7,51.71,43.85
"Estrela d'Oeste","SP",100,100,50.35,77.17
"Rosário Oeste","MT",81.8,45.5,53.26,22.67
"Itanhangá","MT",77.8,77.8,54.61,54.97
"Santa Rita do Novo Destino","GO",66.7,55.6,54.43,32.78
"Mutum","MG",81.8,63.6,50.54,40.81
"Passagem Franca","MA",72.7,45.5,49.5,22.71
"Boituva","SP",92.3,92.3,50.32,69.52
"Palmital","PR",77.8,100,50.54,77.22
"Denise","MT",77.8,55.6,51.54,32.83
"Cacaulândia","RO",88.9,55.6,51.69,32.85
"Carvalhos","MG",77.8,100,51.36,77.26
"Pinhal de São Bento","PR",100,88.9,52.15,66.17
"Ribeirão Grande","SP",77.8,100,51.13,77.27
"Conquista d'Oeste","MT",66.7,66.7,52.82,43.99
"Magalhães Barata","PA",77.8,44.4,52.47,21.69
"Santa Gertrudes","SP",100,88.9,50.63,66.22
"Recife","PE",84.6,64.1,46.16,41.42
"Cidelândia","MA",88.9,44.4,51.25,21.73
"Divino","MG",72.7,72.7,50.6,50.07
"Carrancas","MG",55.6,66.7,50.94,44.07
"Monte Aprazível","SP",100,100,49.73,77.38
"São Francisco de Paula","MG",88.9,77.8,50.59,55.18
"Rio Preto da Eva","AM",90.9,45.5,52.12,22.89
"Joanésia","MG",100,55.6,49.75,33
"Riacho das Almas","PE",90.9,72.7,49.14,50.12
"Herval","RS",100,100,51.58,77.42
"Ferraz de Vasconcelos","SP",94.1,70.6,48.81,48.02
"Condor","RS",77.8,100,49.13,77.43
"Rio Rufino","SC",88.9,88.9,51.11,66.34
"Santiago do Sul","SC",88.9,100,51.47,77.47
"Santo Antônio do Monte","MG",81.8,90.9,50.81,68.37
"Angelândia","MG",100,44.4,49.36,21.87
"Ponte Alta do Norte","SC",77.8,77.8,49.77,55.28
"Boqueirão do Piauí","PI",88.9,33.3,49.72,10.79
"Aporé","GO",88.9,66.7,52.72,44.23
"Maringá","PR",100,93.3,48.09,70.84
"Pitangui","MG",88.9,77.8,49.57,55.34
"Santa Ernestina","SP",88.9,77.8,51.22,55.35
"Gramado dos Loureiros","RS",77.8,88.9,50.73,66.46
"Buriti dos Lopes","PI",72.7,45.5,50.45,23.06
"Planaltina do Paraná","PR",88.9,77.8,50.55,55.36
"Barra Mansa","RJ",94.7,73.7,48.25,51.27
"Virmond","PR",100,100,50.61,77.59
"Uniflor","PR",66.7,77.8,49.96,55.39
"Ipixuna do Pará","PA",90.9,36.4,52.44,14
"Campo Novo de Rondônia","RO",88.9,55.6,53.44,33.21
"Perdões","MG",100,77.8,49.16,55.42
"Água Doce","SC",88.9,88.9,51.06,66.53
"Frutal","MG",93.3,86.7,50.63,64.34
"Jaú","SP",88.2,100,49,77.64
"Arcos","MG",92.3,84.6,49.76,62.25
"Japurá","PR",88.9,100,50.58,77.65
"Feliz Natal","MT",55.6,66.7,51.04,44.37
"Araguari","MG",88.2,82.4,49.33,60.09
"Ibirá","SP",88.9,100,49.69,77.71
"Primavera de Rondônia","RO",88.9,66.7,52.67,44.41
"Arapiraca","AL",82.4,58.8,47.61,36.51
"Barra","BA",84.6,38.5,51.01,16.21
"Novo Horizonte","SP",84.6,100,49.93,77.72
"Xaxim","SC",81.8,100,49.69,77.72
"Governador Jorge Teixeira","RO",66.7,55.6,52.04,33.35
"São José da Boa Vista","PR",88.9,100,51.65,77.78
"Arantina","MG",88.9,100,50.12,77.79
"Bom Despacho","MG",66.7,77.8,49.59,55.59
"Selvíria","MS",100,66.7,51.14,44.5
"Diadema","SP",100,71.4,48.38,49.22
"São Miguel dos Campos","AL",80,53.3,48.67,31.12
"Moeda","MG",88.9,66.7,49.97,44.53
"São João","PR",88.9,100,49.44,77.84
"Alto Jequitibá","MG",100,88.9,51.08,66.75
"Camanducaia","MG",90.9,90.9,51.5,68.75
"Rosário","MA",100,38.5,49.67,16.35
"Érico Cardoso","BA",88.9,55.6,49.93,33.45
"Cristais","MG",88.9,88.9,51.08,66.79
"Guaxupé","MG",76.9,92.3,49.81,70.19
"Santo Antônio do Caiuá","PR",66.7,66.7,49.36,44.59
"Nossa Senhora das Dores","SE",100,54.5,49.34,32.42
"Baião","PA",92.3,38.5,52.72,16.43
"Capivari do Sul","RS",77.8,100,49.74,77.94
"São Vicente de Minas","MG",77.8,66.7,48.43,44.65
"Maximiliano de Almeida","RS",77.8,100,50.23,77.95
"Curiúva","PR",88.9,88.9,51.05,66.86
"Monte Sião","MG",100,100,50.25,77.97
"Sebastião Laranjeiras","BA",100,44.4,50.66,22.38
"Monte Alto","SP",92.3,100,49.26,77.98
"Borborema","SP",100,100,50.59,77.99
"Barrinha","SP",90.9,63.6,50.26,41.59
"Uberlândia","MG",88.9,77.8,48.83,55.8
"São Miguel das Matas","BA",66.7,44.4,50.68,22.41
"Brejo da Madre de Deus","PE",92.3,61.5,49.09,39.53
"Ministro Andreazza","RO",88.9,66.7,51.24,44.74
"Brasileira","PI",77.8,44.4,51.15,22.46
"Luiziânia","SP",88.9,66.7,51.93,44.77
"Juquiá","SP",100,72.7,50.61,50.79
"Conceição do Araguaia","PA",100,46.2,51.16,24.29
"Almirante Tamandaré","PR",93.3,86.7,49.55,64.79
"Olaria","MG",88.9,77.8,53.64,55.92
"Timburi","SP",66.7,100,51.55,78.12
"Campo Largo","PR",81.8,100,49.53,78.13
"Sobradinho","RS",77.8,100,48.95,78.13
"Rio Branco do Ivaí","PR",100,77.8,50.33,55.93
"Milagres do Maranhão","MA",88.9,44.4,51.69,22.55
"Romelândia","SC",88.9,100,50.32,78.15
"Sede Nova","RS",88.9,100,50.85,78.15
"Campo Novo do Parecis","MT",77.8,66.7,52.59,44.86
"Ribeirão do Pinhal","PR",88.9,88.9,49.77,67.08
"Augusto Severo","RN",44.4,66.7,50.68,44.89
"Comendador Gomes","MG",88.9,77.8,53.53,55.99
"Nazária","PI",66.7,33.3,50.63,11.5
"Barra Bonita","SC",88.9,100,51.97,78.22
"Anori","AM",81.8,36.4,52.16,14.62
"Imperatriz","MA",81,52.4,48.17,30.62
"Santa Fé de Goiás","GO",77.8,55.6,50.5,33.83
"Estiva Gerbi","SP",77.8,100,50.52,78.24
"Varjota","CE",81.8,54.5,49.48,32.75
"Novo Tiradentes","RS",100,100,52.31,78.26
"Aparecida","PB",77.8,55.6,49.45,33.87
"Potim","SP",81.8,81.8,56.58,60.07
"Três Palmeiras","RS",88.9,88.9,50.45,67.18
"Teixeirópolis","RO",88.9,55.6,51.96,33.88
"Trizidela do Vale","MA",81.8,45.5,48.23,23.79
"Alcântaras","CE",88.9,44.4,49.34,22.71
"Rio Novo do Sul","ES",88.9,77.8,50.66,56.11
"Salto do Jacuí","RS",88.9,100,49.48,78.32
"Cafezal do Sul","PR",100,77.8,50.58,56.13
"Baraúna","RN",72.7,54.5,50.74,32.85
"Capinzal","SC",100,100,49.27,78.36
"Cacequi","RS",77.8,100,49.99,78.36
"Acopiara","CE",73.3,53.3,50.09,31.66
"Tabatinga","SP",88.9,88.9,51.51,67.27
"Nova Nazaré","MT",55.6,44.4,51.67,22.81
"Loanda","PR",88.9,77.8,49.28,56.22
"Iguaraci","PE",88.9,55.6,50.22,34.02
"Sengés","PR",72.7,90.9,51.39,69.33
"São João de Meriti","RJ",100,57.1,47.55,35.55
"Varginha","MG",93.3,80,48.71,58.48
"Tapes","RS",66.7,100,49.11,78.48
"Ciríaco","RS",100,100,51.04,78.5
"Bela Vista do Toldo","SC",88.9,100,51.7,78.5
"Itaporanga","SP",100,100,50.04,78.53
"Formigueiro","RS",77.8,100,50.9,78.53
"Riqueza","SC",88.9,100,51.63,78.54
"Itamogi","MG",77.8,100,51.27,78.54
"Mira Estrela","SP",77.8,88.9,49.68,67.45
"Anadia","AL",81.8,54.5,49.18,33.06
"Dom Pedrito","RS",76.9,100,49.12,78.57
"Pedregulho","SP",100,81.8,50.86,60.38
"Oliveira","MG",92.3,76.9,48.92,55.5
"Pedro II","PI",92.3,61.5,49.19,40.1
"Ressaquinha","MG",88.9,77.8,49.86,56.4
"Pederneiras","SP",77.8,88.9,50.27,67.51
"Mendes Pimentel","MG",100,55.6,49.8,34.26
"Juína","MT",100,69.2,51.3,47.86
"Itapira","SP",80,100,49.54,78.66
"Palmácia","CE",66.7,44.4,50,23.06
"Pirapó","RS",88.9,88.9,50.71,67.57
"Inácio Martins","PR",88.9,88.9,51.21,67.6
"Anchieta","ES",90.9,63.6,50.46,42.3
"Ribeirópolis","SE",72.7,63.6,49.45,42.32
"Suzano","SP",89.5,73.7,49.03,52.43
"Materlândia","MG",88.9,33.3,49.73,12.03
"Urbano Santos","MA",63.6,36.4,50.35,15.13
"São João do Triunfo","PR",100,100,52.6,78.74
"Aspásia","SP",88.9,88.9,50.14,67.66
"Fortaleza dos Nogueiras","MA",66.7,44.4,51.28,23.16
"Prata","MG",100,72.7,51.44,51.47
"Irecê","BA",73.3,53.3,48.38,32.07
"Jucurutu","RN",72.7,63.6,50.13,42.38
"Itapejara d'Oeste","PR",77.8,100,49.97,78.82
"Itu","SP",92.3,92.3,49.45,71.13
"São Tomás de Aquino","MG",88.9,77.8,50.16,56.63
"Rio Negro","PR",100,100,49.79,78.84
"Frei Lagonegro","MG",100,44.4,50.71,23.25
"Mineiros","GO",80,66.7,51.27,45.56
"Maripá de Minas","MG",100,77.8,49.82,56.67
"Novo Airão","AM",77.8,33.3,51.67,12.17
"Pedra Bonita","MG",88.9,77.8,51.78,56.69
"Natividade da Serra","SP",88.9,100,52.2,78.89
"Santa Helena","PR",77.8,100,49.14,78.89
"Boa Ventura de São Roque","PR",77.8,88.9,51.05,67.79
"Nepomuceno","MG",100,72.7,49.87,51.61
"Itaperuçu","PR",100,81.8,50.17,60.71
"Italva","RJ",100,77.8,48.73,56.73
"Itacurubi","RS",77.8,100,51.67,78.93
"Saltinho","SC",100,88.9,51.5,67.84
"Itobi","SP",88.9,88.9,51.79,67.86
"Munhoz","MG",100,100,51.89,78.97
"Itaú","RN",88.9,66.7,49.26,45.67
"São Miguel de Taipu","PB",66.7,55.6,49.9,34.57
"Bom Sucesso do Sul","PR",100,100,49.74,78.99
"São José do Mantimento","MG",66.7,77.8,49.81,56.79
"Balsa Nova","PR",88.9,100,50.63,79
"Cristópolis","BA",88.9,55.6,51.72,34.6
"Boa Viagem","CE",60,53.3,50.17,32.32
"Lafaiete Coutinho","BA",88.9,44.4,52.04,23.43
"Caroebe","RR",44.4,44.4,53.11,23.43
"Porangaba","SP",100,100,51.36,79.04
"Pains","MG",88.9,77.8,50.24,56.84
"Dona Francisca","RS",77.8,100,49.34,79.04
"Pompéu","MG",88.9,55.6,50.29,34.69
"Lagoão","RS",100,100,51.66,79.11
"Promissão","SP",76.9,84.6,49.77,63.73
"Prado","BA",81.8,36.4,50.64,15.54
"São Francisco do Piauí","PI",88.9,33.3,50.65,12.45
"Itarema","CE",76.9,46.2,51.64,25.38
"Setubinha","MG",88.9,33.3,49.15,12.49
"Caaporã","PB",90.9,45.5,49.55,24.7
"São Francisco de Itabapoana","RJ",92.3,69.2,50.32,48.41
"Jaguaretama","CE",90.9,54.5,50.78,33.72
"Iracemápolis","SP",81.8,90.9,50.16,70.12
"Caicó","RN",73.3,80,48.43,59.23
"Paraguaçu","MG",100,88.9,50.27,68.14
"Ubatuba","SP",100,80,49.72,59.24
"Divinópolis","MG",94.1,82.4,48.74,61.65
"Lajeado do Bugre","RS",100,88.9,50.38,68.15
"Cândido de Abreu","PR",90.9,90.9,51.29,70.17
"Maçambara","RS",44.4,100,51.03,79.27
"Carneirinho","MG",100,77.8,51.39,57.08
"Brasilândia de Minas","MG",100,44.4,51.9,23.7
"Inconfidentes","MG",100,100,50.97,79.31
"Oriente","SP",88.9,77.8,48.96,57.11
"Valinhos","SP",88.2,100,49.33,79.34
"Major Vieira","SC",88.9,100,50.8,79.34
"Cachoeiro de Itapemirim","ES",94.7,68.4,48.89,47.76
"Ouro Verde de Goiás","GO",88.9,66.7,49.78,46.08
"Jaguaribara","CE",55.6,55.6,50.75,34.98
"Nacip Raydan","MG",77.8,44.4,50.29,23.78
"Mogi Guaçu","SP",100,100,49.61,79.39
"Bálsamo","SP",100,100,49,79.4
"Alvorada","RS",82.4,94.1,48.59,73.5
"Lagoa Nova","RN",100,54.5,49.52,33.91
"Turvolândia","MG",66.7,88.9,51.72,68.31
"Itaitinga","CE",76.9,46.2,51.06,25.62
"Paranacity","PR",77.8,66.7,49.9,46.13
"Piratini","RS",100,100,50.95,79.44
"Campestre","MG",81.8,100,52.04,79.45
"Andradas","MG",77.8,100,50.12,79.45
"Quarto Centenário","PR",100,66.7,49.24,46.17
"Salto Veloso","SC",88.9,100,50.9,79.47
"Joaquim Távora","PR",88.9,100,49.56,79.49
"Santo Antônio do Jardim","SP",77.8,100,51.24,79.49
"São Fernando","RN",66.7,88.9,51.07,68.39
"Jacaré dos Homens","AL",88.9,44.4,49.34,23.91
"Ribeirão","PE",92.3,53.8,48.91,33.31
"João Lisboa","MA",54.5,45.5,48.95,25.02
"Avelino Lopes","PI",100,44.4,50.43,23.92
"Mozarlândia","GO",100,55.6,51.05,35.15
"Bom Sucesso","MG",90.9,63.6,49.59,43.15
"Sul Brasil","SC",88.9,100,51.95,79.57
"Nazário","GO",88.9,66.7,50.33,46.27
"Boa Ventura","PB",77.8,55.6,50.41,35.19
"Riachão","MA",81.8,36.4,51.41,16.02
"Derrubadas","RS",100,100,50.28,79.62
"Videira","SC",90.9,100,49.33,79.62
"Toledo","PR",78.9,89.5,48.89,69.12
"Foz do Jordão","PR",77.8,77.8,49.54,57.42
"Dourado","SP",88.9,100,50.69,79.64
"Bebedouro","SP",81.8,90.9,48.68,70.56
"São Gabriel","RS",93.3,100,48.7,79.67
"Pereiras","SP",88.9,100,50.79,79.69
"São Francisco do Sul","SC",100,100,49.82,79.71
"Redenção","PA",93.3,46.7,50.31,26.41
"Uiraúna","PB",90.9,63.6,48.07,43.31
"Clementina","SP",88.9,77.8,51.82,57.55
"Navegantes","SC",100,100,49.8,79.8
"Rio Negrinho","SC",100,100,50.14,79.8
"Paraíso do Tocantins","TO",84.6,53.8,49.78,33.6
"Pinhalzinho","SP",66.7,100,50.31,79.82
"Juranda","PR",66.7,77.8,49.93,57.62
"Narandiba","SP",88.9,66.7,50.61,46.53
"Amaral Ferrador","RS",88.9,100,51.64,79.84
"Visconde do Rio Branco","MG",88.9,66.7,49.29,46.57
"Alcobaça","BA",81.8,36.4,50.84,16.27
"São Gonçalo do Amarante","RN",82.4,52.9,49.25,32.77
"Pimenta Bueno","RO",90,60,50.38,39.92
"Piraí do Sul","PR",77.8,100,49.61,79.92
"Rosário do Sul","RS",76.9,100,48.63,79.93
"Quadra","SP",77.8,100,52.75,79.94
"Inhacorá","RS",66.7,88.9,50.64,68.86
"Martinópolis","SP",100,81.8,52.03,61.76
"Serra Negra","SP",90.9,100,48.76,79.97
"Nova Aliança","SP",77.8,100,49.6,79.97
"Araxá","MG",93.3,80,49.39,59.99
"Cabixi","RO",100,66.7,51.73,46.7
"Tupanciretã","RS",88.9,100,48.76,80.01
"Jaborá","SC",88.9,100,49.81,80.03
"Divino das Laranjeiras","MG",88.9,55.6,49.83,35.63
"Barracão","RS",88.9,100,50.23,80.03
"Perdigão","MG",77.8,77.8,51.11,57.84
"São Desidério","BA",100,46.2,52.53,26.26
"Cajueiro","AL",90.9,45.5,49.38,25.56
"São José de Caiana","PB",100,55.6,50.78,35.67
"Quixaba","PE",88.9,55.6,49.34,35.67
"Lago do Junco","MA",77.8,44.4,50.47,24.47
"Pirapora do Bom Jesus","SP",77.8,66.7,49.69,46.79
"Formosa da Serra Negra","MA",90.9,45.5,52.51,25.6
"São Miguel Arcanjo","SP",100,90.9,50.86,71.01
"São João da Boa Vista","SP",86.7,100,48.48,80.11
"Serrolândia","BA",77.8,44.4,48.93,24.51
"Campo Azul","MG",77.8,44.4,52.82,24.51
"Pinheiro Preto","SC",88.9,100,51.35,80.14
"Ubá","MG",81.8,72.7,49.51,52.84
"Porto União","SC",90.9,100,49.11,80.15
"João Costa","PI",88.9,44.4,53.07,24.56
"Taboão da Serra","SP",69.2,69.2,47.8,49.38
"Tunas","RS",77.8,100,51.83,80.18
"São Pedro do Iguaçu","PR",88.9,77.8,50.72,58
"Torre de Pedra","SP",77.8,100,52.71,80.21
"Sertão","RS",100,100,48.38,80.22
"Tunas do Paraná","PR",77.8,77.8,52.29,58.04
"Faxinal do Soturno","RS",88.9,100,49.07,80.25
"Chavantes","SP",66.7,88.9,49.76,69.18
"Santa Salete","SP",55.6,100,51.35,80.3
"Itapagipe","MG",100,88.9,52.17,69.21
"Santa Rita de Jacutinga","MG",66.7,88.9,50.79,69.22
"Itacarambi","MG",90.9,36.4,49.9,16.73
"Muzambinho","MG",100,100,50.25,80.34
"Jacuí","MG",88.9,100,51.63,80.34
"Itapeva","MG",88.9,100,51.92,80.34
"Farol","PR",88.9,77.8,49.63,58.15
"Silvianópolis","MG",55.6,100,51.9,80.36
"Senhora do Porto","MG",100,44.4,50.47,24.76
"Palestina","SP",88.9,88.9,50.63,69.27
"Tonantins","AM",63.6,27.3,51.39,7.68
"Cantagalo","PR",88.9,77.8,50.66,58.18
"Brotas","SP",81.8,90.9,49.63,71.29
"Mato Castelhano","RS",77.8,100,52.31,80.4
"Miracatu","SP",81.8,72.7,50.56,53.11
"Chopinzinho","PR",88.9,88.9,49.67,69.32
"Butiá","RS",88.9,100,49.16,80.42
"Goiás","GO",88.9,55.6,49.57,36.03
"Tatuí","SP",94.1,100,49.41,80.44
